id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar_matem,valor_errorestandar_lectu,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2006,"Total, mathematic",ARG,(S)ERCE,2006,505.3636169433594,1,1,,,"Total, mathematic",1,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women, mathematic",ARG,(S)ERCE,2006,505.3920593261719,2,2,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men, mathematic",ARG,(S)ERCE,2006,506.808837890625,3,3,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in low-skilled household, mathematic",ARG,(S)ERCE,2006,484.3250732421875,6,6,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in medium-skilled household, mathematic",ARG,(S)ERCE,2006,532.0109252929688,7,7,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in high-skilled household, mathematic",ARG,(S)ERCE,2006,557.671875,8,8,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in low-skilled household, mathematic",ARG,(S)ERCE,2006,486.8150939941406,9,9,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in medium-skilled household, mathematic",ARG,(S)ERCE,2006,532.6731567382813,10,10,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in high-skilled household, mathematic",ARG,(S)ERCE,2006,576.636474609375,11,11,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, language",ARG,(S)ERCE,2006,510.0398559570313,12,12,,,"Total, language",8,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women, language",ARG,(S)ERCE,2006,521.248779296875,13,13,,,"Gender, language",11,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men, language",ARG,(S)ERCE,2006,503.5039367675781,14,14,,,"Gender, language",11,Argentina,Average score in standardized tests for 3rd grade students,Average score in standardized tests for students in 3rd grade.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
